roi,metric,contrast,contrast_label,n,dz,p,stars,mean_delta,ci95_lo,ci95_hi,band,metric_type
SPG,delta_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,0.43721714810049217,0.0011501526034591223,**,0.08053269000103945,0.033358466165032116,0.1277069138370468,delta,peak_height
SPG,delta_peak_height_log10,WS->ESS1,WS → ESS1,61,0.7147739685047905,6.042662562831735e-07,***,0.14258176998442462,0.09149305034148622,0.19367048962736302,delta,peak_height
SPG,delta_peak_height_log10,WS->LSS1,WS → LSS1,61,0.9601754826901638,3.512401480906551e-10,***,0.22311445998546411,0.16360214424256755,0.28262677572836065,delta,peak_height
SPG,log10_power_alpha1,WS->TS,WS → TS,61,-1.2370409975250427,7.740509398354336e-14,***,-0.22255206803480745,-0.2686283349830459,-0.17647580108656902,alpha1,band_power
SPG,log10_power_alpha1,TS->ESS1,TS → ESS1,61,-1.6232078213582983,1.2778214546153963e-18,***,-0.5462749753898758,-0.6324669686116863,-0.4600829821680653,alpha1,band_power
SPG,log10_power_alpha1,ESS1->LSS1,ESS1 → LSS1,61,0.279187658852798,0.033150953477080636,*,0.046364230679038776,0.0038321542532933905,0.08889630710478416,alpha1,band_power
SPG,log10_power_alpha1,WS->ESS1,WS → ESS1,61,-2.2670812740948105,1.6707114545084928e-25,***,-0.7688270434246831,-0.8556813397456665,-0.6819727471036997,alpha1,band_power
SPG,log10_power_alpha1,WS->LSS1,WS → LSS1,61,-2.0770599089132267,1.3058218626304115e-23,***,-0.7224628127456445,-0.8115460968273946,-0.6333795286638944,alpha1,band_power
SPG,log10_power_alpha2,WS->TS,WS → TS,61,-0.8183258515930479,2.7034601574595238e-08,***,-0.18620546586492923,-0.24448229297859952,-0.12792863875125893,alpha2,band_power
SPG,log10_power_alpha2,TS->ESS1,TS → ESS1,61,-1.5488822151107835,9.767778436263139e-18,***,-0.4212653181822006,-0.49092268570142694,-0.35160795066297423,alpha2,band_power
SPG,log10_power_alpha2,ESS1->LSS1,ESS1 → LSS1,61,0.24060787472090264,0.06507543988133956,ns,0.031982489456493256,-0.002060851382727033,0.06602583029571354,alpha2,band_power
SPG,log10_power_alpha2,WS->ESS1,WS → ESS1,61,-1.8739559995549595,1.838931646868788e-21,***,-0.60747078404713,-0.6904932733237452,-0.5244482947705147,alpha2,band_power
