roi,metric,contrast,contrast_label,n,dz,p,stars,mean_delta,ci95_lo,ci95_hi
Occipital,log10_power_delta,ESS1->LSS1,ESS1 → LSS1,61,0.9545583082462394,4.174342534526064e-10,***,0.23409983559725128,0.17128989375346468,0.29690977744103786
Occipital,log10_power_delta,WS->ESS1,WS → ESS1,61,-0.3349076919680805,0.011246784947746377,*,-0.1213964996253211,-0.21423129546616507,-0.028561703784477144
Occipital,log10_power_delta,WS->LSS1,WS → LSS1,61,0.29570149942636653,0.02437433556810313,*,0.11270333597193023,0.01508913829603277,0.21031753364782768
Occipital,log10_power_theta,WS->TS,WS → TS,61,-0.23045698849226912,0.07690015249536622,ns,-0.03468001024317823,-0.07322066417778758,0.0038606436914311107
Occipital,log10_power_theta,TS->ESS1,TS → ESS1,61,0.28676470699883233,0.02882770225131067,*,0.04366265688236707,0.004667182913972792,0.08265813085076135
Occipital,log10_power_theta,ESS1->LSS1,ESS1 → LSS1,61,1.2013891029031694,2.2496057901497575e-13,***,0.16523188411626355,0.13000778364074306,0.20045598459178404
Occipital,log10_power_theta,WS->ESS1,WS → ESS1,61,0.042791138717213364,0.739386887234073,ns,0.00898264663918884,-0.044779947568404685,0.06274524084678236
Occipital,log10_power_theta,WS->LSS1,WS → LSS1,61,0.7608711641249425,1.5319210167055086e-07,***,0.1742145307554524,0.11557331105736394,0.23285575045354084
Occipital,power_alpha1,WS->TS,WS → TS,61,-0.7811853180696836,8.318215934842583e-08,***,-9.319683931445693,-12.375145714892325,-6.264222147999062
Occipital,power_alpha1,TS->ESS1,TS → ESS1,61,-0.8022312129329876,4.404564928900887e-08,***,-11.738460773680687,-15.48595819118139,-7.990963356179984
