roi,method,band,contrast,n,dz,p,stars,mean_delta
L_DLPFC,Hilbert,beta2,TS->ESS1,61,-1.6142472402649422,1.629197079996894e-18,***,-0.2384722017686743
L_DLPFC,Hilbert,beta2,ESS1->LSS1,61,-0.3915260689463054,0.003327121483364057,**,-0.06401770860528072
L_DLPFC,Hilbert,beta2,WS->ESS1,61,-2.1618554578835982,1.8096945116213485e-24,***,-0.4308350791129402
L_DLPFC,Hilbert,beta2,WS->LSS1,61,-2.5747004685516446,2.390911963065447e-28,***,-0.49485278771822094
L_DLPFC,Hilbert,beta3,WS->TS,61,-0.45559783425250977,0.0007366535489087109,***,-0.06081596514972144
L_DLPFC,Hilbert,beta3,TS->ESS1,61,-1.220418803635487,1.2717919777051153e-13,***,-0.1305691810075279
L_DLPFC,Hilbert,beta3,ESS1->LSS1,61,-0.6917842380344671,1.1881690813174913e-06,***,-0.11990746229925256
L_DLPFC,Hilbert,beta3,WS->ESS1,61,-1.3894115514572734,8.843244479224566e-16,***,-0.1913851461572493
L_DLPFC,Hilbert,beta3,WS->LSS1,61,-1.8393046219508402,4.412229233961633e-21,***,-0.3112926084565019
R_DLPFC,Residual,delta,WS->TS,61,0.13095958042364733,0.31049598255444744,ns,0.021165296620744126
R_DLPFC,Residual,delta,TS->ESS1,61,1.0641669434119112,1.44455557783836e-11,***,0.15424487182687016
R_DLPFC,Residual,delta,ESS1->LSS1,61,0.5995894486375657,1.663634249338282e-05,***,0.11598914307179926
R_DLPFC,Residual,delta,WS->ESS1,61,0.8490663431897221,1.0602201309727241e-08,***,0.1754101684476143
R_DLPFC,Residual,delta,WS->LSS1,61,1.271371635820789,2.7898603288363073e-14,***,0.2913993115194136
R_DLPFC,Residual,theta,WS->TS,61,0.3392394222438527,0.010288280864932215,*,0.05479897197367113
R_DLPFC,Residual,theta,TS->ESS1,61,0.44746556193098647,0.0008982674242842116,***,0.0784213749245244
R_DLPFC,Residual,theta,ESS1->LSS1,61,0.6436854836827185,4.784307279454591e-06,***,0.10565611968694841
R_DLPFC,Residual,theta,WS->ESS1,61,0.6354055625489271,6.060400760180443e-06,***,0.13322034689819554
R_DLPFC,Residual,theta,WS->LSS1,61,1.0843767907392787,7.79002106562685e-12,***,0.23887646658514394
R_DLPFC,Residual,alpha1,WS->TS,61,-0.8668017218519531,6.166729621553749e-09,***,-0.20916415270585928
R_DLPFC,Residual,alpha1,TS->ESS1,61,-2.1873002185038115,1.0100951638085116e-24,***,-0.6688000684937947
R_DLPFC,Residual,alpha1,ESS1->LSS1,61,-0.576084491326385,3.1874811223199895e-05,***,-0.09357100159812373
R_DLPFC,Residual,alpha1,WS->ESS1,61,-2.574412188238769,2.4049738636671815e-28,***,-0.877964221199654
R_DLPFC,Residual,alpha1,WS->LSS1,61,-2.8339907540080818,1.4818340311171883e-30,***,-0.9715352227977777
R_DLPFC,Residual,alpha2,WS->TS,61,-0.4307352464346716,0.0013425843128764994,**,-0.10190224038759066
R_DLPFC,Residual,alpha2,TS->ESS1,61,-1.9780064519792466,1.403137609100203e-22,***,-0.6475313196743367
R_DLPFC,Residual,alpha2,ESS1->LSS1,61,-0.3934087269282861,0.003188914376124955,**,-0.07265418113072947
R_DLPFC,Residual,alpha2,WS->ESS1,61,-2.179315573458305,1.2123264488968698e-24,***,-0.7494335600619274
R_DLPFC,Residual,alpha2,WS->LSS1,61,-2.233774674149344,3.5224530606331576e-25,***,-0.822087741192657
R_DLPFC,Residual,beta1,WS->TS,61,-0.5092271684086692,0.00019022221970106337,***,-0.07896534696892056
R_DLPFC,Residual,beta1,TS->ESS1,61,-0.25431963015343784,0.051573513074830026,ns,-0.03414391132631046
R_DLPFC,Residual,beta1,ESS1->LSS1,61,0.5095243683002953,0.00018876078149409215,***,0.08662662961417046
R_DLPFC,Residual,beta1,WS->ESS1,61,-0.5659801934052962,4.2014711130322225e-05,***,-0.11310925829523102
R_DLPFC,Residual,beta1,WS->LSS1,61,-0.10981507924067878,0.39448053536348726,ns,-0.026482628681060584
R_DLPFC,Residual,beta2,WS->TS,61,-0.7159388168492248,5.838226076574352e-07,***,-0.10468166212578241
R_DLPFC,Residual,beta2,TS->ESS1,61,-0.6913773647239528,1.2024057055863547e-06,***,-0.10055352212301534
R_DLPFC,Residual,beta2,ESS1->LSS1,61,-0.127066233919345,0.324978688097401,ns,-0.013206218897283895
